id,jurisdiction_type_x,rechtbank,gerechtshof,appeal,crime_location,verdict_date_year,verdict_date_month,crime_date_month,crime_date_year,age,minor,criminal_organization,drug_type,jurisdiction_type_y,jeugdstrafrecht
ECLI-NL-RBSHE-2010-BO6872,['Strafrecht'],'s-hertogenbosch,,0,,2010,nov,jun,2010,23.0,0,0,['hennep'],,0
ECLI-NL-RBROE-2010-BN8305,['Strafrecht'],roermond,,0,,2010,sep,apr,2010,,0,0,"['cocaine', 'diacetylmorfine', 'heroine']",,0
ECLI-NL-OGEAA-2015-585,['Strafrecht'],,,0,,2015,dec,jan,2004,,0,0,['cocaine'],,0
ECLI-NL-GHARL-2021-10551,['Strafrecht'],gelderland,arnhem-leeuwarden,1,,2021,nov,mar,2017,,0,0,['cocaine'],,0
ECLI-NL-RBNHO-2021-2185,['Strafrecht'],noord-holland,,0,,2021,mar,jul,2020,,0,0,"['amfetamines/metamfetamines', 'methadon']",,0
ECLI-NL-RBDHA-2014-13098,['Strafrecht'],den haag,,0,,2014,oct,jun,2013,,0,0,"['methanol', 'benzylmethylketon', 'aceton', 'bmk', 'mierenzuur', 'formamide', 'amfetamines/metamfetamines']",,0
ECLI-NL-RBZWB-2022-4951,['Strafrecht'],zeeland-west-brabant,’s-hertogenbosch,1,kaatsheuvel,2022,aug,apr,2022,,0,0,['mdma'],,0
ECLI-NL-RBOVE-2022-1088,['Strafrecht'],overijssel,,0,,2022,apr,nov,2018,,0,1,"['mdma', 'amfetamines/metamfetamines', 'xtc', 'cocaine', 'ketamine']",,0
ECLI-NL-RBOVE-2022-1091,['Strafrecht'],overijssel,,0,,2022,apr,jul,2020,,0,1,"['mdma', 'amfetamines/metamfetamines', 'xtc', 'cocaine', 'ketamine']",,0
ECLI-NL-RBROT-2022-1654,['Strafrecht'],rotterdam,,0,,2022,mar,nov,2019,,0,0,['amfetamines/metamfetamines'],,0
ECLI-NL-RBMAA-2000-AA7126,['Strafrecht'],-,,0,,2000,sep,feb,1999,,0,0,"['hennep', 'mdma', 'aceton', 'hasjiesj', 'formamide', 'amfetamines/metamfetamines', 'cocaine', 'mdea']",,0
ECLI-NL-RBROT-2006-AX2473,['Strafrecht'],rotterdam,,0,amsterdam,2006,may,jan,2005,,0,0,"['cocaine', 'mdma', 'amfetamines/metamfetamines', 'hennep']",,0
ECLI-NL-RBROE-2012-BW8712,['Strafrecht'],roermond,,0,,2012,jun,may,2005,,0,0,"['hasjiesj', 'hennep']",,0
ECLI-NL-RBGEL-2023-167,['Strafrecht'],gelderland,,0,,2023,jan,may,2019,,0,0,"['methanol', 'benzylmethylketon', 'bmk', 'mierenzuur', 'formamide', 'amfetamines/metamfetamines']",,0
ECLI-NL-RBOVE-2022-3831,['Strafrecht'],overijssel,,0,deventer,2022,dec,may,2022,,0,0,['heroine'],,0
ECLI-NL-GHAMS-2017-411,['Strafrecht'],amsterdam,amsterdam,1,amsterdam,2017,feb,feb,2015,,0,0,"['cocaine', 'heroine']",,0
ECLI-NL-GHAMS-2010-BL6532,['Strafrecht'],amsterdam,te,1,,2010,feb,jun,2008,,0,0,['cocaine'],,0
