id,jurisdiction_type,rechtbank,gerechtshof,appeal,crime_location,verdict_date_year,verdict_date_month,crime_date_month,crime_date_year,age,minor,criminal_organization,drug_type
ECLI-NL-RBMNE-2020-904,['Strafrecht'],midden-nederland,,0,amersfoort,2020,mar,oct,2018,,0,1,heroine
ECLI-NL-RBMNE-2020-904,['Strafrecht'],midden-nederland,,0,amersfoort,2020,mar,oct,2018,,0,1,fenacetine
ECLI-NL-GHARL-2020-5449,['Strafrecht'],overijssel,arnhem‑leeuwarden,1,centrum,2020,jul,nov,2018,17.0,1,0,amfetamines/metamfetamines
ECLI-NL-RBNNE-2019-5243,['Strafrecht'],noord-nederland,,0,stadskanaal,2019,dec,jul,2019,21.0,0,0,gbl
ECLI-NL-RBNNE-2019-5243,['Strafrecht'],noord-nederland,,0,stadskanaal,2019,dec,jul,2019,21.0,0,0,amfetamines/metamfetamines
ECLI-NL-RBNNE-2019-5243,['Strafrecht'],noord-nederland,,0,stadskanaal,2019,dec,jul,2019,21.0,0,0,ghb
ECLI-NL-RBNHO-2022-11410,['Strafrecht'],noord-holland,,0,hillegom,2022,dec,mar,2016,19.0,0,0,mdma
ECLI-NL-RBNHO-2022-11410,['Strafrecht'],noord-holland,,0,hillegom,2022,dec,mar,2016,19.0,0,0,xtc
ECLI-NL-RBNHO-2022-11410,['Strafrecht'],noord-holland,,0,hillegom,2022,dec,mar,2016,19.0,0,0,2c-b
ECLI-NL-RBNHO-2022-11410,['Strafrecht'],noord-holland,,0,hillegom,2022,dec,mar,2016,19.0,0,0,cocaine
ECLI-NL-RBNHO-2022-11410,['Strafrecht'],noord-holland,,0,hillegom,2022,dec,mar,2016,19.0,0,0,amfetamines/metamfetamines
ECLI-NL-RBAMS-2022-3865,['Strafrecht'],amsterdam,,0,aalsmeer,2022,jul,nov,2021,21.0,0,0,mdma
ECLI-NL-RBAMS-2022-3865,['Strafrecht'],amsterdam,,0,aalsmeer,2022,jul,nov,2021,21.0,0,0,xtc
ECLI-NL-RBAMS-2022-3865,['Strafrecht'],amsterdam,,0,aalsmeer,2022,jul,nov,2021,21.0,0,0,hennep
ECLI-NL-RBAMS-2022-3865,['Strafrecht'],amsterdam,,0,aalsmeer,2022,jul,nov,2021,21.0,0,0,hasjiesj
ECLI-NL-RBAMS-2022-3865,['Strafrecht'],amsterdam,,0,aalsmeer,2022,jul,nov,2021,21.0,0,0,2c-b
ECLI-NL-RBAMS-2022-3865,['Strafrecht'],amsterdam,,0,aalsmeer,2022,jul,nov,2021,21.0,0,0,cocaine
ECLI-NL-RBAMS-2020-438,['Strafrecht'],amsterdam,,0,amsterdam,2020,jan,apr,2018,18.0,0,0,hennep
ECLI-NL-RBAMS-2020-438,['Strafrecht'],amsterdam,,0,amsterdam,2020,jan,apr,2018,18.0,0,0,crack
ECLI-NL-RBAMS-2020-438,['Strafrecht'],amsterdam,,0,amsterdam,2020,jan,apr,2018,18.0,0,0,cocaine
ECLI-NL-RBNHO-2020-10486,['Strafrecht'],noord-holland,,0,castricum,2020,dec,jun,2020,,0,0,hasjiesj
ECLI-NL-RBGEL-2016-1909,['Strafrecht'],gelderland,,0,nijmegen,2016,mar,mar,2016,,0,0,hennep
ECLI-NL-RBAMS-2021-5496,['Strafrecht; Materieel strafrecht'],amsterdam,,0,amsterdam,2021,sep,jul,2020,21.0,0,0,mdma
ECLI-NL-RBAMS-2021-5496,['Strafrecht; Materieel strafrecht'],amsterdam,,0,amsterdam,2021,sep,jul,2020,21.0,0,0,cocaine
ECLI-NL-RBNNE-2020-3926,['Strafrecht'],noord-nederland,,0,noord,2020,nov,oct,2019,21.0,0,0,hennep
ECLI-NL-RBAMS-2020-4129,['Strafrecht'],amsterdam,,0,amsterdam,2020,jul,nov,2019,20.0,0,0,mdma
ECLI-NL-RBAMS-2020-4129,['Strafrecht'],amsterdam,,0,amsterdam,2020,jul,nov,2019,20.0,0,0,cocaine
ECLI-NL-RBAMS-2020-4129,['Strafrecht'],amsterdam,,0,amsterdam,2020,jul,nov,2019,20.0,0,0,2c-b
ECLI-NL-RBAMS-2020-4129,['Strafrecht'],amsterdam,,0,amsterdam,2020,jul,nov,2019,20.0,0,0,amfetamines/metamfetamines
ECLI-NL-RBAMS-2022-1546,['Strafrecht'],amsterdam,,0,amsterdam,2022,mar,nov,2021,22.0,0,0,hennep
ECLI-NL-RBAMS-2022-1546,['Strafrecht'],amsterdam,,0,amsterdam,2022,mar,nov,2021,22.0,0,0,cocaine
ECLI-NL-RBROT-2020-5715,['Strafrecht'],rotterdam,,0,rotterdam,2020,jun,nov,2019,,0,0,amfetamines/metamfetamines
ECLI-NL-RBMNE-2015-742,['Strafrecht'],midden-nederland,,0,amsterdam,2015,feb,oct,2014,,0,0,hennep
ECLI-NL-RBROT-2022-9863,['Strafrecht'],rotterdam,,0,capelle,2022,nov,jan,2021,22.0,0,0,ketamine
ECLI-NL-RBNNE-2021-5084,['Strafrecht'],noord-nederland,,0,amsterdam,2021,nov,mar,2019,18.0,0,0,xtc
ECLI-NL-RBZWB-2021-4521,['Strafrecht'],zeeland-west-brabant,,0,hoogerheide,2021,sep,oct,2018,20.0,0,0,bmk
ECLI-NL-RBZWB-2021-4521,['Strafrecht'],zeeland-west-brabant,,0,hoogerheide,2021,sep,oct,2018,20.0,0,0,xtc
ECLI-NL-RBZWB-2021-4521,['Strafrecht'],zeeland-west-brabant,,0,hoogerheide,2021,sep,oct,2018,20.0,0,0,amfetamines/metamfetamines
ECLI-NL-RBROT-2018-5967,['Strafrecht'],rotterdam,,0,schiedam,2018,jun,mar,2017,,0,0,hennep
ECLI-NL-RBAMS-2020-1806,['Strafrecht'],amsterdam,,0,amsterdam,2020,mar,apr,2019,20.0,0,0,hennep
ECLI-NL-RBAMS-2020-1806,['Strafrecht'],amsterdam,,0,amsterdam,2020,mar,apr,2019,20.0,0,0,heroine
ECLI-NL-RBAMS-2020-1806,['Strafrecht'],amsterdam,,0,amsterdam,2020,mar,apr,2019,20.0,0,0,cocaine
ECLI-NL-RBOVE-2022-3834,['Strafrecht'],overijssel,,0,zwolle,2022,dec,dec,2021,17.0,1,0,hennep
ECLI-NL-RBOVE-2022-3834,['Strafrecht'],overijssel,,0,zwolle,2022,dec,dec,2021,17.0,1,0,hasjiesj
ECLI-NL-RBOVE-2022-3834,['Strafrecht'],overijssel,,0,zwolle,2022,dec,dec,2021,17.0,1,0,amfetamines/metamfetamines
ECLI-NL-RBMNE-2021-321,['Strafrecht'],midden-nederland,arnhem-leeuwarden,1,almere,2021,feb,dec,2019,,0,0,cocaine
ECLI-NL-RBMNE-2021-321,['Strafrecht'],midden-nederland,arnhem-leeuwarden,1,almere,2021,feb,dec,2019,,0,0,ghb
ECLI-NL-GHSHE-2006-AZ0901,['Strafrecht'],maastricht,'s-hertogenbosch,1,maastricht,2006,oct,jul,2004,17.0,1,0,cocaine
ECLI-NL-RBLIM-2022-896,['Strafrecht'],limburg,,0,heerlen,2022,feb,aug,2021,21.0,0,0,hennep
ECLI-NL-RBLIM-2022-896,['Strafrecht'],limburg,,0,heerlen,2022,feb,aug,2021,21.0,0,0,cocaine
ECLI-NL-RBMNE-2022-1519,['Strafrecht; Materieel strafrecht'],midden-nederland,,0,soest,2022,feb,dec,2020,18.0,0,0,ghb
ECLI-NL-RBOVE-2017-4738,['Strafrecht'],overijssel,,0,hengelo,2017,dec,jun,2017,22.0,0,0,xtc
